sku,variant_id,item_class,family,subfamily,product_type,product_name,species_group,allowed_alternates,substitution_policy,lumber_grade,design_grade,moisture_condition,thickness_in,width_in,depth_in,length_in,diameter_in,nominal_size_text,actual_size_text,uom_takeoff,uom_purchase,lf_per_piece,bf_per_piece,sf_per_sheet,coverage_sf,count_per_box,lb_per_box,awpa_uc,retention_pcf,preservative_type,panel_width_in,panel_length_in,span_rating,exposure_class,edge_type,ps_standard,manufacturer,series,model,connector_type,finish,mount_type,seat_depth,skewable,joist_size_fit,fastener_coating,shank_type,head_type,angle_deg,collation_type,roll_width_ft,roll_length_ft,tape_width_in,adhesive_type,application_tags,irc_reference,requires_quote,spec_inputs,vendor_id,vendor_sku,vendor_sku_desc,price,price_uom,price_effective_date,stock_status,lead_time_days,min_order_qty,notes
DIM-SPF-2X3-8,DIM-SPF-2X3-8-V1,dimensional_lumber,studs_plates,plate,plate,2x3 SPF 8',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,2.5,,96,,2x3,1.5x2.5,LF,EA,8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partition_plate|nailer,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X3-10,DIM-SPF-2X3-10-V1,dimensional_lumber,studs_plates,plate,plate,2x3 SPF 10',SPF,Hem-Fir,Allowed,#2&Btr,,KD,1.5,2.5,,120,,2x3,1.5x2.5,LF,EA,10,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partition_plate|nailer,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-STUD-92625,DIM-SPF-2X4-STUD-92625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x4 Stud SPF 92.625""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,3.5,,92.625,,2x4,1.5x3.5,EA,EA,7.72,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|interior|8ft_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-STUD-96,DIM-SPF-2X4-STUD-96-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x4 Stud SPF 96""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,3.5,,96,,2x4,1.5x3.5,EA,EA,8,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|interior|8ft_full_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-STUD-104625,DIM-SPF-2X4-STUD-104625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x4 Stud SPF 104.625""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,3.5,,104.625,,2x4,1.5x3.5,EA,EA,8.72,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|interior|9ft_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X4-STUD-116625,DIM-SPF-2X4-STUD-116625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x4 Stud SPF 116.625""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,3.5,,116.625,,2x4,1.5x3.5,EA,EA,9.72,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|interior|10ft_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-STUD-92625,DIM-SPF-2X6-STUD-92625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x6 Stud SPF 92.625""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,5.5,,92.625,,2x6,1.5x5.5,EA,EA,7.72,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|exterior|8ft_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-STUD-96,DIM-SPF-2X6-STUD-96-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x6 Stud SPF 96""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,5.5,,96,,2x6,1.5x5.5,EA,EA,8,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|exterior|8ft_full_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-STUD-104625,DIM-SPF-2X6-STUD-104625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x6 Stud SPF 104.625""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,5.5,,104.625,,2x6,1.5x5.5,EA,EA,8.72,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|exterior|9ft_ceiling,R602.3,N,,,,,,,,STOCK,,,
DIM-SPF-2X6-STUD-116625,DIM-SPF-2X6-STUD-116625-V1,dimensional_lumber,studs_plates,precut_stud,stud,"2x6 Stud SPF 116.625""",SPF,Hem-Fir,Allowed,Stud,,KD,1.5,5.5,,116.625,,2x6,1.5x5.5,EA,EA,9.72,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall_stud|exterior|10ft_ceiling,R602.3,N,,,,,,,,STOCK,,,
